idnumber,smiles,smiles_desalted,hac,mw,alogp,hba,hbd,psa,rotb,arom,alerts
HMDB0029078,NC(=O)CC(NC(=O)C([NH3+])Cc1c[nH]c2ccccc12)C(=O)O,NC(=O)CC(NC(=O)C([NH3+])Cc1c[nH]c2ccccc12)C(=O)O,23,319.34100000000007,-1.2342999999999975,4,5,152.92,7,2,0
HMDB0029079,[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)NC(CC(=O)O)C(=O)O,[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)NC(CC(=O)O)C(=O)O,23,320.32500000000005,-0.6349999999999991,5,5,147.13,7,2,0
HMDB0029080,[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)NC(CS)C(=O)O,[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)NC(CS)C(=O)O,21,308.383,-0.17989999999999973,3,5,109.83,6,2,1
HMDB0029081,NC(=O)CCC(NC(=O)C([NH3+])Cc1c[nH]c2ccccc12)C(=O)O,NC(=O)CCC(NC(=O)C([NH3+])Cc1c[nH]c2ccccc12)C(=O)O,24,333.3680000000001,-0.8441999999999985,4,5,152.92,8,2,0
HMDB0029082,[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)NC(CCC(=O)O)C(=O)O,[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)NC(CCC(=O)O)C(=O)O,24,334.35200000000003,-0.2448999999999995,5,5,147.13,8,2,0
HMDB0029083,[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)O,[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)O,19,262.28899999999993,-0.4782999999999998,3,4,109.83,5,2,0
HMDB0029084,[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)N1CC(O)CC1C(=O)O,[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)N1CC(O)CC1C(=O)O,23,318.35300000000007,-0.6326999999999998,4,4,121.27,4,2,0
HMDB0029085,[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1c[nH+]c[nH]1)C(=O)O,[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1c[nH+]c[nH]1)C(=O)O,25,343.387,-0.7247999999999986,3,5,139.76,7,3,0
HMDB0029086,CCC(C)C(NC(=O)C([NH3+])Cc1c[nH]c2ccccc12)C(=O)O,CCC(C)C(NC(=O)C([NH3+])Cc1c[nH]c2ccccc12)C(=O)O,23,318.39700000000005,0.9364000000000015,3,4,109.83,7,2,0
HMDB0029087,CC(C)CC(N=C(O)C([NH3+])Cc1c[nH]c2ccccc12)C(=O)O,CC(C)CC(N=C(O)C([NH3+])Cc1c[nH]c2ccccc12)C(=O)O,23,318.39700000000005,1.7766999999999997,3,4,113.32000000000001,7,2,2
HMDB0029088,[NH3+]CCCCC(NC(=O)C([NH3+])Cc1c[nH]c2ccccc12)C(=O)O,[NH3+]CCCCC(NC(=O)C([NH3+])Cc1c[nH]c2ccccc12)C(=O)O,24,334.4200000000001,-0.6974999999999969,3,5,137.46999999999997,9,2,1
HMDB0029090,[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)O,[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)O,26,352.41400000000004,1.1329999999999996,3,4,109.83,7,3,0
HMDB0029091,[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)N1CCCC1C(=O)O,[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)N1CCCC1C(=O)O,22,302.354,0.39649999999999935,3,3,101.04,4,2,0
HMDB0029092,[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)NC(CO)C(=O)O,[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)NC(CO)C(=O)O,21,292.315,-1.117399999999999,4,5,130.06,6,2,0
HMDB0029093,CC(O)C(NC(=O)C([NH3+])Cc1c[nH]c2ccccc12)C(=O)O,CC(O)C(NC(=O)C([NH3+])Cc1c[nH]c2ccccc12)C(=O)O,22,306.34200000000004,-0.7288999999999992,4,5,130.05999999999997,6,2,0
